hypothesis,effect_pp,base_prompts,total_responses,human_double_annotated_responses,discordance_rate,within_prompt_icc,replicates,mean_estimate_pp,power_95pct_cluster_interval_excludes_zero,monte_carlo_se
H1,2.0,420,1260,1000,0.1,0.25,1000,2.0043650793650793,0.59,0.01555313473226539
H1,2.0,840,2520,400,0.1,0.25,1000,2.0062681878306874,0.882,0.01020176455325254
H1,2.0,840,2520,600,0.1,0.25,1000,1.967857142857143,0.888,0.00997276290703835
H1,2.0,840,2520,800,0.1,0.25,1000,2.0268650793650793,0.895,0.009694070352540258
H1,2.0,840,2520,1000,0.1,0.25,1000,2.0488888888888885,0.889,0.00993373041711924
H1,2.0,1260,3780,400,0.1,0.25,1000,1.9707378747795417,0.868,0.010704017937204702
H1,2.0,1260,3780,600,0.1,0.25,1000,2.0209318048206937,0.96,0.00619677335393187
H1,2.0,1260,3780,800,0.1,0.25,1000,2.0350529100529102,0.974,0.005032295698784007
H1,2.0,1260,3780,1000,0.1,0.25,1000,1.9933333333333334,0.967,0.005648982209212561
H1,2.0,1680,5040,400,0.1,0.25,1000,2.027310185185185,0.881,0.010239091756596383
H1,2.0,1680,5040,600,0.1,0.25,1000,1.991856040564374,0.971,0.005306505441436956
H1,2.0,1680,5040,800,0.1,0.25,1000,1.9908613591269841,0.988,0.003443254274665176
H1,2.0,1680,5040,1000,0.1,0.25,1000,2.006051587301587,0.993,0.002636474919281427
H1,3.5000000000000004,420,1260,400,0.1,0.25,1000,3.5471428571428576,0.981,0.004317290817167639
H1,3.5000000000000004,420,1260,600,0.1,0.25,1000,3.5310317460317466,0.984,0.00396787096564392
H1,3.5000000000000004,420,1260,800,0.1,0.25,1000,3.4503174603174607,0.97,0.0053944415837044735
H1,3.5000000000000004,420,1260,1000,0.1,0.25,1000,3.4963492063492065,0.98,0.0044271887242357325
H1,3.5000000000000004,840,2520,400,0.1,0.25,1000,3.4887665343915346,1.0,0.0
H1,3.5000000000000004,840,2520,600,0.1,0.25,1000,3.50047619047619,1.0,0.0
H1,3.5000000000000004,840,2520,800,0.1,0.25,1000,3.5351190476190473,1.0,0.0
H1,3.5000000000000004,840,2520,1000,0.1,0.25,1000,3.5249603174603177,1.0,0.0
H1,3.5000000000000004,1260,3780,400,0.1,0.25,1000,3.455991402116402,1.0,0.0
H1,3.5000000000000004,1260,3780,600,0.1,0.25,1000,3.4868186360964137,1.0,0.0
H1,3.5000000000000004,1260,3780,800,0.1,0.25,1000,3.499550264550264,1.0,0.0
H1,3.5000000000000004,1260,3780,1000,0.1,0.25,1000,3.4923544973544973,1.0,0.0
H1,3.5000000000000004,1680,5040,400,0.1,0.25,1000,3.469544973544974,1.0,0.0
H1,3.5000000000000004,1680,5040,600,0.1,0.25,1000,3.4952400793650793,1.0,0.0
H1,3.5000000000000004,1680,5040,800,0.1,0.25,1000,3.499604249338624,1.0,0.0
H1,3.5000000000000004,1680,5040,1000,0.1,0.25,1000,3.484503968253968,1.0,0.0
H1,5.0,420,1260,400,0.1,0.25,1000,4.961190476190477,1.0,0.0
H1,5.0,420,1260,600,0.1,0.25,1000,4.940396825396825,1.0,0.0
H1,5.0,420,1260,800,0.1,0.25,1000,5.0055555555555555,1.0,0.0
H1,5.0,420,1260,1000,0.1,0.25,1000,4.964523809523809,1.0,0.0
H1,5.0,840,2520,400,0.1,0.25,1000,4.999924933862434,1.0,0.0
H1,5.0,840,2520,600,0.1,0.25,1000,5.034285714285714,1.0,0.0
H1,5.0,840,2520,800,0.1,0.25,1000,4.975714285714286,1.0,0.0
H1,5.0,840,2520,1000,0.1,0.25,1000,5.003293650793651,1.0,0.0
H1,5.0,1260,3780,400,0.1,0.25,1000,5.023001984126985,1.0,0.0
H1,5.0,1260,3780,600,0.1,0.25,1000,5.011688712522046,1.0,0.0
H1,5.0,1260,3780,800,0.1,0.25,1000,5.002301587301587,1.0,0.0
H1,5.0,1260,3780,1000,0.1,0.25,1000,5.053730158730159,1.0,0.0
H1,5.0,1680,5040,400,0.1,0.25,1000,4.964484788359789,1.0,0.0
H1,5.0,1680,5040,600,0.1,0.25,1000,4.974146825396826,1.0,0.0
H1,5.0,1680,5040,800,0.1,0.25,1000,4.988573578042328,1.0,0.0
H1,5.0,1680,5040,1000,0.1,0.25,1000,4.992043650793652,1.0,0.0
H1,7.000000000000001,420,1260,400,0.1,0.25,1000,6.989999999999999,1.0,0.0
H1,7.000000000000001,420,1260,600,0.1,0.25,1000,6.94952380952381,1.0,0.0
H1,7.000000000000001,420,1260,800,0.1,0.25,1000,7.053015873015873,1.0,0.0
H1,7.000000000000001,420,1260,1000,0.1,0.25,1000,7.001825396825395,1.0,0.0
H1,7.000000000000001,840,2520,400,0.1,0.25,1000,6.9872377645502635,1.0,0.0
H1,7.000000000000001,840,2520,600,0.1,0.25,1000,6.944285714285714,1.0,0.0
H1,7.000000000000001,840,2520,800,0.1,0.25,1000,7.043650793650793,1.0,0.0
H1,7.000000000000001,840,2520,1000,0.1,0.25,1000,7.016349206349205,1.0,0.0
H1,7.000000000000001,1260,3780,400,0.1,0.25,1000,7.025110229276896,1.0,0.0
H1,7.000000000000001,1260,3780,600,0.1,0.25,1000,7.012284832451499,1.0,0.0
H1,7.000000000000001,1260,3780,800,0.1,0.25,1000,7.010105820105821,1.0,0.0
H1,7.000000000000001,1260,3780,1000,0.1,0.25,1000,7.000370370370371,1.0,0.0
H1,7.000000000000001,1680,5040,400,0.1,0.25,1000,7.014297453703704,1.0,0.0
H1,7.000000000000001,1680,5040,600,0.1,0.25,1000,7.0162590388007064,1.0,0.0
H1,7.000000000000001,1680,5040,800,0.1,0.25,1000,6.983277529761904,1.0,0.0
H1,7.000000000000001,1680,5040,1000,0.1,0.25,1000,6.99093253968254,1.0,0.0
H2,1.0,420,1260,400,0.1,0.25,1000,1.0192063492063492,0.85,0.011291589790636216
H2,1.0,420,1260,600,0.1,0.25,1000,1.005873015873016,0.875,0.010458250331675944
H2,1.0,420,1260,800,0.1,0.25,1000,0.9838095238095239,0.854,0.011166198995181844
H2,1.0,420,1260,1000,0.1,0.25,1000,0.9833333333333333,0.857,0.011070275515993268
H2,1.0,840,2520,400,0.1,0.25,1000,1.0122228835978837,0.997,0.0017294507798720387
H2,1.0,840,2520,600,0.1,0.25,1000,0.9915079365079364,0.998,0.0014127986409959495
H2,1.0,840,2520,800,0.1,0.25,1000,0.9982539682539683,0.997,0.0017294507798720387
H2,1.0,840,2520,1000,0.1,0.25,1000,1.001031746031746,0.999,0.0009994998749374613
H2,1.0,1260,3780,400,0.1,0.25,1000,0.9977422839506173,0.999,0.0009994998749374613
H2,1.0,1260,3780,600,0.1,0.25,1000,1.0097411816578483,1.0,0.0
H2,1.0,1260,3780,800,0.1,0.25,1000,0.9881481481481481,1.0,0.0
H2,1.0,1260,3780,1000,0.1,0.25,1000,0.9993650793650795,1.0,0.0
H2,1.0,1680,5040,400,0.1,0.25,1000,0.9869631283068783,0.999,0.0009994998749374613
H2,1.0,1680,5040,600,0.1,0.25,1000,0.997474757495591,1.0,0.0
H2,1.0,1680,5040,800,0.1,0.25,1000,1.005258019179894,1.0,0.0
H2,1.0,1680,5040,1000,0.1,0.25,1000,1.009404761904762,1.0,0.0
H2,2.0,420,1260,400,0.1,0.25,1000,1.982698412698413,1.0,0.0
H2,2.0,420,1260,600,0.1,0.25,1000,1.9720634920634923,0.997,0.0017294507798720387
H2,2.0,420,1260,800,0.1,0.25,1000,1.9887301587301585,0.997,0.0017294507798720387
H2,2.0,420,1260,1000,0.1,0.25,1000,1.9803174603174605,0.998,0.0014127986409959495
H2,2.0,840,2520,400,0.1,0.25,1000,2.0305968915343913,1.0,0.0
H2,2.0,840,2520,600,0.1,0.25,1000,2.0184920634920633,1.0,0.0
H2,2.0,840,2520,800,0.1,0.25,1000,1.9878571428571425,1.0,0.0
H2,2.0,840,2520,1000,0.1,0.25,1000,2.001904761904762,1.0,0.0
H2,2.0,1260,3780,400,0.1,0.25,1000,1.9801750440917112,1.0,0.0
H2,2.0,1260,3780,600,0.1,0.25,1000,1.9823328924162258,1.0,0.0
H2,2.0,1260,3780,800,0.1,0.25,1000,2.00984126984127,1.0,0.0
H2,2.0,1260,3780,1000,0.1,0.25,1000,2.0229100529100528,1.0,0.0
H2,2.0,1680,5040,400,0.1,0.25,1000,1.9864391534391532,1.0,0.0
H2,2.0,1680,5040,600,0.1,0.25,1000,2.0021332671957675,1.0,0.0
H2,2.0,1680,5040,800,0.1,0.25,1000,1.9941963458994707,1.0,0.0
H2,2.0,1680,5040,1000,0.1,0.25,1000,1.9934920634920632,1.0,0.0
H2,3.5000000000000004,420,1260,400,0.1,0.25,1000,3.4852380952380955,1.0,0.0
H2,3.5000000000000004,420,1260,600,0.1,0.25,1000,3.4941269841269844,1.0,0.0
H2,3.5000000000000004,420,1260,800,0.1,0.25,1000,3.519206349206349,1.0,0.0
H2,3.5000000000000004,420,1260,1000,0.1,0.25,1000,3.5236507936507935,1.0,0.0
H2,3.5000000000000004,840,2520,400,0.1,0.25,1000,3.5182255291005293,1.0,0.0
H2,3.5000000000000004,840,2520,600,0.1,0.25,1000,3.493888888888888,1.0,0.0
H2,3.5000000000000004,840,2520,800,0.1,0.25,1000,3.5170634920634916,1.0,0.0
H2,3.5000000000000004,840,2520,1000,0.1,0.25,1000,3.4971428571428578,1.0,0.0
H2,3.5000000000000004,1260,3780,400,0.1,0.25,1000,3.5215048500881836,1.0,0.0
H2,3.5000000000000004,1260,3780,600,0.1,0.25,1000,3.5281676954732513,1.0,0.0
H2,3.5000000000000004,1260,3780,800,0.1,0.25,1000,3.4862962962962962,1.0,0.0
H2,3.5000000000000004,1260,3780,1000,0.1,0.25,1000,3.497142857142857,1.0,0.0
H2,3.5000000000000004,1680,5040,400,0.1,0.25,1000,3.513563657407407,1.0,0.0
H2,3.5000000000000004,1680,5040,600,0.1,0.25,1000,3.494288470017636,1.0,0.0
H2,3.5000000000000004,1680,5040,800,0.1,0.25,1000,3.4965697751322753,1.0,0.0
H2,3.5000000000000004,1680,5040,1000,0.1,0.25,1000,3.5135576719576718,1.0,0.0
H2,5.0,420,1260,400,0.1,0.25,1000,4.988253968253969,1.0,0.0
H2,5.0,420,1260,600,0.1,0.25,1000,5.000634920634921,1.0,0.0
H2,5.0,420,1260,800,0.1,0.25,1000,4.974285714285713,1.0,0.0
H2,5.0,420,1260,1000,0.1,0.25,1000,4.991269841269841,1.0,0.0
H2,5.0,840,2520,400,0.1,0.25,1000,5.02357175925926,1.0,0.0
H2,5.0,840,2520,600,0.1,0.25,1000,5.00547619047619,1.0,0.0
H2,5.0,840,2520,800,0.1,0.25,1000,5.031190476190477,1.0,0.0
H2,5.0,840,2520,1000,0.1,0.25,1000,5.036904761904762,1.0,0.0
H2,5.0,1260,3780,400,0.1,0.25,1000,5.05158377425044,1.0,0.0
H2,5.0,1260,3780,600,0.1,0.25,1000,5.0191349206349205,1.0,0.0
H2,5.0,1260,3780,800,0.1,0.25,1000,5.0095238095238095,1.0,0.0
H2,5.0,1260,3780,1000,0.1,0.25,1000,5.003227513227514,1.0,0.0
H2,5.0,1680,5040,400,0.1,0.25,1000,4.993401289682539,1.0,0.0
H2,5.0,1680,5040,600,0.1,0.25,1000,5.007230709876544,1.0,0.0
H2,5.0,1680,5040,800,0.1,0.25,1000,4.995154265873016,1.0,0.0
H2,5.0,1680,5040,1000,0.1,0.25,1000,4.97559523809524,1.0,0.0
H3,2.0,420,1260,400,0.1,0.25,1000,1.9069444444444446,0.151,0.01132249972400088
H3,2.0,420,1260,600,0.1,0.25,1000,1.9627777777777775,0.161,0.011622349160131096
H3,2.0,420,1260,800,0.1,0.25,1000,1.9429999999999998,0.151,0.01132249972400088
H3,2.0,420,1260,1000,0.1,0.25,1000,1.9960000000000002,0.17,0.011878552100319299
H3,2.0,840,2520,400,0.1,0.25,1000,1.932068865740741,0.278,0.01416742743055351
H3,2.0,840,2520,600,0.1,0.25,1000,1.9935277777777778,0.277,0.014151713677148785
H3,2.0,840,2520,800,0.1,0.25,1000,1.9851388888888888,0.286,0.014289996501049255
H3,2.0,840,2520,1000,0.1,0.25,1000,2.0477222222222218,0.306,0.0145727142289966
H3,2.0,1260,3780,400,0.1,0.25,1000,2.0392538580246913,0.286,0.014289996501049255
H3,2.0,1260,3780,600,0.1,0.25,1000,2.0394032921810696,0.408,0.015541428505771277
H3,2.0,1260,3780,800,0.1,0.25,1000,2.0316296296296295,0.431,0.015660108556456432
H3,2.0,1260,3780,1000,0.1,0.25,1000,1.9884814814814817,0.411,0.015558888135082145
H3,2.0,1680,5040,400,0.1,0.25,1000,1.9663489583333331,0.268,0.014006284303840188
H3,2.0,1680,5040,600,0.1,0.25,1000,1.9677000771604936,0.385,0.015387494922826133
H3,2.0,1680,5040,800,0.1,0.25,1000,1.9741616030092592,0.495,0.01581059771166163
H3,2.0,1680,5040,1000,0.1,0.25,1000,2.056888888888889,0.545,0.015747221977225064
H3,3.5000000000000004,420,1260,400,0.1,0.25,1000,3.4112222222222224,0.381,0.015357050498061143
H3,3.5000000000000004,420,1260,600,0.1,0.25,1000,3.533,0.399,0.015485444778888335
H3,3.5000000000000004,420,1260,800,0.1,0.25,1000,3.4675555555555557,0.403,0.01551099609954177
H3,3.5000000000000004,420,1260,1000,0.1,0.25,1000,3.5298333333333334,0.422,0.01561781034588396
H3,3.5000000000000004,840,2520,400,0.1,0.25,1000,3.4134943287037034,0.654,0.015042739112276061
H3,3.5000000000000004,840,2520,600,0.1,0.25,1000,3.4503055555555564,0.675,0.014811313243598623
H3,3.5000000000000004,840,2520,800,0.1,0.25,1000,3.4381944444444446,0.675,0.014811313243598623
H3,3.5000000000000004,840,2520,1000,0.1,0.25,1000,3.5141944444444446,0.702,0.01446360950800318
H3,3.5000000000000004,1260,3780,400,0.1,0.25,1000,3.4372865740740735,0.654,0.015042739112276061
H3,3.5000000000000004,1260,3780,600,0.1,0.25,1000,3.4138228909465025,0.825,0.012015614840697917
H3,3.5000000000000004,1260,3780,800,0.1,0.25,1000,3.4814629629629628,0.857,0.011070275515993268
H3,3.5000000000000004,1260,3780,1000,0.1,0.25,1000,3.4734629629629623,0.866,0.010772372069326236
H3,3.5000000000000004,1680,5040,400,0.1,0.25,1000,3.4903145833333338,0.663,0.014947608504372864
H3,3.5000000000000004,1680,5040,600,0.1,0.25,1000,3.5213440972222223,0.851,0.011260506205317771
H3,3.5000000000000004,1680,5040,800,0.1,0.25,1000,3.4902453993055556,0.934,0.007851369307324675
H3,3.5000000000000004,1680,5040,1000,0.1,0.25,1000,3.4429861111111104,0.942,0.007391616873188169
H3,5.0,420,1260,400,0.1,0.25,1000,4.964777777777778,0.698,0.01451881537867329
H3,5.0,420,1260,600,0.1,0.25,1000,5.016277777777778,0.701,0.014477534320456644
H3,5.0,420,1260,800,0.1,0.25,1000,5.114,0.708,0.014378317008607092
H3,5.0,420,1260,1000,0.1,0.25,1000,4.951611111111111,0.685,0.014689281806814109
H3,5.0,840,2520,400,0.1,0.25,1000,5.011872222222222,0.936,0.007739767438366605
H3,5.0,840,2520,600,0.1,0.25,1000,5.0075,0.946,0.0071473071852271785
H3,5.0,840,2520,800,0.1,0.25,1000,4.898694444444445,0.939,0.007568289106528638
H3,5.0,840,2520,1000,0.1,0.25,1000,4.9936388888888885,0.936,0.007739767438366605
H3,5.0,1260,3780,400,0.1,0.25,1000,5.047258487654321,0.946,0.0071473071852271785
H3,5.0,1260,3780,600,0.1,0.25,1000,5.040229269547325,0.989,0.0032983329122452166
H3,5.0,1260,3780,800,0.1,0.25,1000,5.031203703703704,0.994,0.002442130217658347
H3,5.0,1260,3780,1000,0.1,0.25,1000,4.997407407407407,0.995,0.002230470802319547
H3,5.0,1680,5040,400,0.1,0.25,1000,5.0030663773148145,0.935,0.0077958322198467015
H3,5.0,1680,5040,600,0.1,0.25,1000,5.00386550925926,0.995,0.002230470802319547
H3,5.0,1680,5040,800,0.1,0.25,1000,4.97745708912037,0.999,0.0009994998749374613
H3,5.0,1680,5040,1000,0.1,0.25,1000,4.955722222222223,0.999,0.0009994998749374613
H3,7.000000000000001,420,1260,400,0.1,0.25,1000,7.067777777777779,0.939,0.007568289106528638
H3,7.000000000000001,420,1260,600,0.1,0.25,1000,7.034388888888889,0.93,0.008068457101577721
H3,7.000000000000001,420,1260,800,0.1,0.25,1000,6.9223333333333334,0.934,0.007851369307324675
H3,7.000000000000001,420,1260,1000,0.1,0.25,1000,6.951833333333333,0.93,0.008068457101577721
H3,7.000000000000001,840,2520,400,0.1,0.25,1000,7.029216319444444,0.998,0.0014127986409959495
H3,7.000000000000001,840,2520,600,0.1,0.25,1000,7.037527777777777,1.0,0.0
H3,7.000000000000001,840,2520,800,0.1,0.25,1000,7.0007222222222225,0.995,0.002230470802319547
H3,7.000000000000001,840,2520,1000,0.1,0.25,1000,7.014444444444444,0.997,0.0017294507798720387
H3,7.000000000000001,1260,3780,400,0.1,0.25,1000,6.994922685185184,1.0,0.0
H3,7.000000000000001,1260,3780,600,0.1,0.25,1000,7.003565946502058,1.0,0.0
H3,7.000000000000001,1260,3780,800,0.1,0.25,1000,6.918314814814814,1.0,0.0
H3,7.000000000000001,1260,3780,1000,0.1,0.25,1000,7.064111111111111,1.0,0.0
H3,7.000000000000001,1680,5040,400,0.1,0.25,1000,6.995401736111111,1.0,0.0
H3,7.000000000000001,1680,5040,600,0.1,0.25,1000,7.019669097222223,1.0,0.0
H3,7.000000000000001,1680,5040,800,0.1,0.25,1000,7.0331906250000005,1.0,0.0
H3,7.000000000000001,1680,5040,1000,0.1,0.25,1000,7.056819444444444,1.0,0.0
